method,dataset_id,output_tree_present,parsed_ok,output_taxa_count,expected_taxa_count,all_expected_taxa_covered,exact_taxon_set_match,duplicate_leaf_labels_found,empty_leaf_labels_found,analysis_ready,success,error_message
Majority-Rule,47,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,48,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,49,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,50,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,51,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,52,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,53,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,54,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,55,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,56,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,57,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,58,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,59,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,60,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,61,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,62,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,63,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,64,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,65,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,66,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,67,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,68,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,69,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,70,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,71,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,72,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,73,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,74,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,75,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,76,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,77,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,78,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,79,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,80,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,81,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,82,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,83,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,84,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,85,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,86,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,87,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,88,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,89,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,90,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,91,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,92,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,93,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,94,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,95,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,96,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,97,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,98,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,99,True,True,55,55,True,True,False,False,True,True,
Majority-Rule,100,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,1,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,2,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,3,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,4,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,5,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,6,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,7,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,8,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,9,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,10,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,11,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,12,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,13,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,14,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,15,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,16,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,17,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,18,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,19,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,20,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,21,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,22,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,23,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,24,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,25,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,26,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,27,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,28,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,29,True,True,55,55,True,True,False,False,True,True,
Spectral Clustering,30,True,True,55,55,True,True,False,False,True,True,
